"asnum";"subnet_id";"client_address";"lon";"lat";"mlabservername";"connect_time";"download_speed";"platform";"remote_address";"test_name";"timestamp";"upload_speed";"latency";"uuid";"region";"city";"hour";"month";"year";"weekday";"day";"filedate";"id_sub"
"1267";"5070585855";"151.29.235.224";10.1277;44.0509;"mlab3-mad01";0.454631;625763.077812;"darwin";"213.200.103.173";"speedtest";1.354350425E9;82294.674884;0.067338;"c30a77c2-9d4d-43cf-8717-11c80e571e29";"16";"Massa";9.0;12.0;2012.0;5.0;1.0;2.0121201E7;"c30a77c2-9d4d-43cf-8717-11c80e571e29-1267-5070585855"
"3269";"2652241919";"79.10.115.239";9.2833;46.0167;"mlab3-hnd01";0.303095;489583.160814;"darwin";"203.178.130.237";"speedtest";1.354377187E9;9922.830801;0.325364;"72740cc4-b665-475c-acad-29e3f176af91";"09";"Varenna";16.0;12.0;2012.0;5.0;1.0;2.0121201E7;"72740cc4-b665-475c-acad-29e3f176af91-3269-2652241919"
"30722";"1256783871";"37.116.40.233";8.8667;44.9;"mlab2-nuq01";0.207987;141037.685348;"darwin";"64.9.225.152";"speedtest";1.354361611E9;61085.325267;0.204695;"821aa4b7-0495-4899-9210-11d94170a73b";"12";"Tortona";12.0;12.0;2012.0;5.0;1.0;2.0121201E7;"821aa4b7-0495-4899-9210-11d94170a73b-30722-1256783871"
"8612";"2762604543";"82.84.222.172";9.1397;39.2561;"mlab3-mil01";0.488044;186511.977628;"win32";"213.200.99.237";"speedtest";1.354320196E9;20203.060141;0.064814;"effcd8f8-6d2d-4418-bf9d-ea5aeec0d159";"14";"Monserrato";1.0;12.0;2012.0;5.0;1.0;2.0121201E7;"effcd8f8-6d2d-4418-bf9d-ea5aeec0d159-8612-2762604543"
"1267";"2093285375";"62.98.139.35";14.5167;40.75;"mlab3-mil01";7.74E-4;703747.151104;"win32";"213.200.99.237";"speedtest";1.35432125E9;41497.520526;0.041008;"2d006d8d-7c04-46bb-b056-798468ee365e";"04";"Scafati";1.0;12.0;2012.0;5.0;1.0;2.0121201E7;"2d006d8d-7c04-46bb-b056-798468ee365e-1267-2093285375"
"1267";"5076877311";"151.77.37.64";14.7;40.7;"mlab3-mil01";0.02604;780952.942077;"win32";"213.200.99.237";"speedtest";1.354321565E9;48383.815167;0.032765;"23d04e8c-1632-480a-8b47-f5057b877ee1";"04";"Cava De' Tirreni";1.0;12.0;2012.0;5.0;1.0;2.0121201E7;"23d04e8c-1632-480a-8b47-f5057b877ee1-1267-5076877311"
"1267";"5071110143";"151.33.54.116";7.6667;45.05;"mlab3-mil01";5.38E-4;576719.186693;"win32";"213.200.99.237";"speedtest";1.354324382E9;43859.412839;0.015888;"078676d1-9fdd-4b99-8d55-8a9b32ddc0c8";"12";"Torino";2.0;12.0;2012.0;5.0;1.0;2.0121201E7;"078676d1-9fdd-4b99-8d55-8a9b32ddc0c8-1267-5071110143"
"1267";"5072814079";"151.46.227.74";12.8333;42.8333;"mlab3-mil01";5.3E-4;78935.629698;"win32";"213.200.99.237";"speedtest";1.354325734E9;39449.793671;0.145482;"7ba0e776-caf4-400c-88ef-e4c54521b265";;;2.0;12.0;2012.0;5.0;1.0;2.0121201E7;"7ba0e776-caf4-400c-88ef-e4c54521b265-1267-5072814079"
"3269";"2921463807";"87.17.184.168";12.7;42.95;"mlab3-mil01";0.06402;766215.076311;"win32";"213.200.99.237";"speedtest";1.354327389E9;49629.695594;0.069521;"1aed84f8-8a0a-4eb9-8e39-0f554b58e12a";"18";"Foligno";3.0;12.0;2012.0;5.0;1.0;2.0121201E7;"1aed84f8-8a0a-4eb9-8e39-0f554b58e12a-3269-2921463807"
"3269";"3219193855";"95.240.27.220";10.25;45.55;"mlab3-mil01";0.048275;784869.978121;"win32";"213.200.99.237";"speedtest";1.354327725E9;56508.516953;0.051886;"ec2e71be-f555-4dee-b674-bc8e80a61d77";"09";"Brescia";3.0;12.0;2012.0;5.0;1.0;2.0121201E7;"ec2e71be-f555-4dee-b674-bc8e80a61d77-3269-3219193855"
